Cache Size (KB),Associativity,Block Size (B),Access Time (ns)
32,2,32,1.2689
32,4,32,1.26907
32,8,32,1.47944
32,16,32,1.56138
32,32,32,1.56544
32,64,32,1.67776
64,2,32,1.64004
64,4,32,1.64166
64,8,32,1.69967
64,16,32,1.56806
64,32,32,1.6969
64,64,32,1.76237
128,2,32,1.82155
128,4,32,1.82313
128,8,32,1.82933
128,16,32,1.78839
128,32,32,1.92232
128,64,32,1.8943
256,2,32,1.91445
256,4,32,1.91442
256,8,32,1.9206
256,16,32,1.93748
256,32,32,1.92442
256,64,32,2.12067
512,2,32,2.03931
512,4,32,2.03885
512,8,32,2.0384
512,16,32,2.05311
512,32,32,2.40459
512,64,32,2.12272
1024,2,32,2.01887
1024,4,32,2.01908
1024,8,32,2.01968
1024,16,32,2.03792
1024,32,32,2.41135
1024,64,32,2.71446
2048,2,32,2.52768
2048,4,32,2.52788
2048,8,32,2.52845
2048,16,32,2.53549
2048,32,32,2.58486
2048,64,32,2.94906
