Cache Size (KB),Associativity,Block Size (B),Access Time (ns),Read Energy (nJ)
8,4,32,1.24238,0.0361295
32,16,32,1.56138,0.171257
64,4,32,1.64166,0.0892139
16,2,32,1.18269,0.0331129
8,64,32,,
2,2,32,0.843272,0.0263623
8,32,32,,
128,4,32,1.82313,0.11724
16,4,32,1.3755,0.0375326
32,2,32,1.2689,0.0626449
128,16,32,1.78839,0.179285
4,8,32,1.24139,0.0789478
16,64,32,,
2,4,32,1.15395,0.0353564
2,32,32,,
64,64,32,1.76237,0.688306
16,8,32,1.4566,0.0817037
4,4,32,1.159,0.0353912
128,2,32,1.82155,0.115611
8,16,32,1.34611,0.1673
64,2,32,1.64004,0.0877196
64,32,32,1.6969,0.350098
2,16,32,,
2,64,32,,
4,64,32,,
32,8,32,1.47944,0.0911486
4,2,32,1.16079,0.0165756
8,2,32,1.17962,0.0306886
64,8,32,1.69967,0.0948224
64,16,32,1.56806,0.17414
128,64,32,1.8943,0.69359
16,32,32,1.48129,0.343944
32,32,32,1.56544,0.346658
8,8,32,1.32535,0.0799829
32,4,32,1.26907,0.0621026
4,16,32,,
2,8,32,,
128,8,32,1.82933,0.12075
16,16,32,1.4301,0.168929
128,32,32,1.92232,0.357693
32,64,32,1.67776,0.683806
4,32,32,,
