Cache Size (KB),Associativity,Block Size (B),Access Time (ns),Read Energy (nJ)
2,2,32,0.8433,0.0264
2,4,32,1.1540,0.0354
4,2,32,1.1608,0.0166
4,4,32,1.1590,0.0354
4,8,32,1.2414,0.0789
8,2,32,1.1796,0.0307
8,4,32,1.2424,0.0361
8,8,32,1.3254,0.0800
8,16,32,1.3461,0.1673
16,2,32,1.1827,0.0331
16,4,32,1.3755,0.0375
16,8,32,1.4566,0.0817
16,16,32,1.4301,0.1689
16,32,32,1.4813,0.3439
32,2,32,1.2689,0.0626
32,4,32,1.2691,0.0621
32,8,32,1.4794,0.0911
32,16,32,1.5614,0.1713
32,32,32,1.5654,0.3467
32,64,32,1.6778,0.6838
64,2,32,1.6400,0.0877
64,4,32,1.6417,0.0892
64,8,32,1.6997,0.0948
64,16,32,1.5681,0.1741
64,32,32,1.6969,0.3501
64,64,32,1.7624,0.6883
128,2,32,1.8216,0.1156
128,4,32,1.8231,0.1172
128,8,32,1.8293,0.1207
128,16,32,1.7884,0.1793
128,32,32,1.9223,0.3577
128,64,32,1.8943,0.6936
