Core Number,CPU clock (GHz),L1 Cache Size (KB),L1 Associativity,L2 Cache Size (KB),L2 Associativity,L2 latency (cycles),Total BCE Cost
2,1.1,2,2,1024,2,3,35
2,1.1,2,2,1024,4,3,35
2,1.1,2,2,1024,8,3,35
2,1.1,2,2,1024,16,3,35
2,1.1,2,2,1024,32,3,35
2,1.1,2,2,1024,64,3,35
2,1.1,2,2,2048,2,3,67
2,1.1,2,2,2048,4,3,67
2,1.1,2,2,2048,8,3,67
2,1.1,2,2,2048,16,3,67
2,1.1,2,2,2048,32,3,67
2,1.1,2,2,2048,64,4,67
2,0.8,2,4,1024,2,2,35
2,0.8,2,4,1024,4,2,35
2,0.8,2,4,1024,8,2,35
2,0.8,2,4,1024,16,2,35
2,0.8,2,4,1024,32,2,35
2,0.8,2,4,1024,64,3,35
2,0.8,2,4,2048,2,3,67
2,0.8,2,4,2048,4,3,67
2,0.8,2,4,2048,8,3,67
2,0.8,2,4,2048,16,3,67
2,0.8,2,4,2048,32,3,67
2,0.8,2,4,2048,64,3,67
2,0.8,4,2,1024,2,2,36
2,0.8,4,2,1024,4,2,36
2,0.8,4,2,1024,8,2,36
2,0.8,4,2,1024,16,2,36
2,0.8,4,2,1024,32,2,36
2,0.8,4,2,1024,64,3,36
2,0.8,4,2,2048,2,3,68
2,0.8,4,2,2048,4,3,68
2,0.8,4,2,2048,8,3,68
2,0.8,4,2,2048,16,3,68
2,0.8,4,2,2048,32,3,68
2,0.8,4,2,2048,64,3,68
2,0.8,4,4,1024,2,2,36
2,0.8,4,4,1024,4,2,36
2,0.8,4,4,1024,8,2,36
2,0.8,4,4,1024,16,2,36
2,0.8,4,4,1024,32,2,36
2,0.8,4,4,1024,64,3,36
2,0.8,4,4,2048,2,3,68
2,0.8,4,4,2048,4,3,68
2,0.8,4,4,2048,8,3,68
2,0.8,4,4,2048,16,3,68
2,0.8,4,4,2048,32,3,68
2,0.8,4,4,2048,64,3,68
2,0.8,4,8,1024,2,2,36
2,0.8,4,8,1024,4,2,36
2,0.8,4,8,1024,8,2,36
2,0.8,4,8,1024,16,2,36
2,0.8,4,8,1024,32,2,36
2,0.8,4,8,1024,64,3,36
2,0.8,4,8,2048,2,3,68
2,0.8,4,8,2048,4,3,68
2,0.8,4,8,2048,8,3,68
2,0.8,4,8,2048,16,3,68
2,0.8,4,8,2048,32,3,68
2,0.8,4,8,2048,64,3,68
2,0.8,8,2,1024,2,2,38
2,0.8,8,2,1024,4,2,38
2,0.8,8,2,1024,8,2,38
2,0.8,8,2,1024,16,2,38
2,0.8,8,2,1024,32,2,38
2,0.8,8,2,1024,64,3,38
2,0.8,8,2,2048,2,3,70
2,0.8,8,2,2048,4,3,70
2,0.8,8,2,2048,8,3,70
2,0.8,8,2,2048,16,3,70
2,0.8,8,2,2048,32,3,70
2,0.8,8,2,2048,64,3,70
2,0.8,8,4,1024,2,2,38
2,0.8,8,4,1024,4,2,38
2,0.8,8,4,1024,8,2,38
2,0.8,8,4,1024,16,2,38
2,0.8,8,4,1024,32,2,38
2,0.8,8,4,1024,64,3,38
2,0.8,8,4,2048,2,3,70
2,0.8,8,4,2048,4,3,70
2,0.8,8,4,2048,8,3,70
2,0.8,8,4,2048,16,3,70
2,0.8,8,4,2048,32,3,70
2,0.8,8,4,2048,64,3,70
2,0.7,8,8,1024,2,2,38
2,0.7,8,8,1024,4,2,38
2,0.7,8,8,1024,8,2,38
2,0.7,8,8,1024,16,2,38
2,0.7,8,8,1024,32,2,38
2,0.7,8,8,1024,64,2,38
2,0.7,8,8,2048,2,2,70
2,0.7,8,8,2048,4,2,70
2,0.7,8,8,2048,8,2,70
2,0.7,8,8,2048,16,2,70
2,0.7,8,8,2048,32,2,70
2,0.7,8,8,2048,64,3,70
2,0.7,8,16,1024,2,2,38
2,0.7,8,16,1024,4,2,38
2,0.7,8,16,1024,8,2,38
2,0.7,8,16,1024,16,2,38
2,0.7,8,16,1024,32,2,38
2,0.7,8,16,1024,64,2,38
2,0.7,8,16,2048,2,2,70
2,0.7,8,16,2048,4,2,70
2,0.7,8,16,2048,8,2,70
2,0.7,8,16,2048,16,2,70
2,0.7,8,16,2048,32,2,70
2,0.7,8,16,2048,64,3,70
2,0.8,16,2,1024,2,2,42
2,0.8,16,2,1024,4,2,42
2,0.8,16,2,1024,8,2,42
2,0.8,16,2,1024,16,2,42
2,0.8,16,2,1024,32,2,42
2,0.8,16,2,1024,64,3,42
2,0.8,16,2,2048,2,3,74
2,0.8,16,2,2048,4,3,74
2,0.8,16,2,2048,8,3,74
2,0.8,16,2,2048,16,3,74
2,0.8,16,2,2048,32,3,74
2,0.8,16,2,2048,64,3,74
2,0.7,16,4,1024,2,2,42
2,0.7,16,4,1024,4,2,42
2,0.7,16,4,1024,8,2,42
2,0.7,16,4,1024,16,2,42
2,0.7,16,4,1024,32,2,42
2,0.7,16,4,1024,64,2,42
2,0.7,16,4,2048,2,2,74
2,0.7,16,4,2048,4,2,74
2,0.7,16,4,2048,8,2,74
2,0.7,16,4,2048,16,2,74
2,0.7,16,4,2048,32,2,74
2,0.7,16,4,2048,64,3,74
2,0.6,16,8,1024,2,2,42
2,0.6,16,8,1024,4,2,42
2,0.6,16,8,1024,8,2,42
2,0.6,16,8,1024,16,2,42
2,0.6,16,8,1024,32,2,42
2,0.6,16,8,1024,64,2,42
2,0.6,16,8,2048,2,2,74
2,0.6,16,8,2048,4,2,74
2,0.6,16,8,2048,8,2,74
2,0.6,16,8,2048,16,2,74
2,0.6,16,8,2048,32,2,74
2,0.6,16,8,2048,64,2,74
