Core Number,CPU clock (GHz),L1 Cache Size (KB),L1 Associativity,L2 Cache Size (KB),L2 Associativity,L2 latency (cycles),Total BCE Cost
8,0.8,8,2,1024,2,2,44
8,0.8,8,2,1024,4,2,44
8,0.8,8,2,1024,8,2,44
8,0.8,8,2,1024,16,2,44
8,0.8,8,2,1024,32,2,44
8,0.8,8,2,1024,64,3,44
8,0.8,8,2,2048,2,3,76
8,0.8,8,2,2048,4,3,76
8,0.8,8,2,2048,8,3,76
8,0.8,8,2,2048,16,3,76
8,0.8,8,2,2048,32,3,76
8,0.8,8,2,2048,64,3,76
8,0.8,8,4,1024,2,2,44
8,0.8,8,4,1024,4,2,44
8,0.8,8,4,1024,8,2,44
8,0.8,8,4,1024,16,2,44
8,0.8,8,4,1024,32,2,44
8,0.8,8,4,1024,64,3,44
8,0.8,8,4,2048,2,3,76
8,0.8,8,4,2048,4,3,76
8,0.8,8,4,2048,8,3,76
8,0.8,8,4,2048,16,3,76
8,0.8,8,4,2048,32,3,76
8,0.8,8,4,2048,64,3,76
8,0.7,8,8,1024,2,2,44
8,0.7,8,8,1024,4,2,44
8,0.7,8,8,1024,8,2,44
8,0.7,8,8,1024,16,2,44
8,0.7,8,8,1024,32,2,44
8,0.7,8,8,1024,64,2,44
8,0.7,8,8,2048,2,2,76
8,0.7,8,8,2048,4,2,76
8,0.7,8,8,2048,8,2,76
8,0.7,8,8,2048,16,2,76
8,0.7,8,8,2048,32,2,76
8,0.7,8,8,2048,64,3,76
8,0.7,8,16,1024,2,2,44
8,0.7,8,16,1024,4,2,44
8,0.7,8,16,1024,8,2,44
8,0.7,8,16,1024,16,2,44
8,0.7,8,16,1024,32,2,44
8,0.7,8,16,1024,64,2,44
8,0.7,8,16,2048,2,2,76
8,0.7,8,16,2048,4,2,76
8,0.7,8,16,2048,8,2,76
8,0.7,8,16,2048,16,2,76
8,0.7,8,16,2048,32,2,76
8,0.7,8,16,2048,64,3,76
8,0.8,16,2,1024,2,2,48
8,0.8,16,2,1024,4,2,48
8,0.8,16,2,1024,8,2,48
8,0.8,16,2,1024,16,2,48
8,0.8,16,2,1024,32,2,48
8,0.8,16,2,1024,64,3,48
8,0.8,16,2,2048,2,3,80
8,0.8,16,2,2048,4,3,80
8,0.8,16,2,2048,8,3,80
8,0.8,16,2,2048,16,3,80
8,0.8,16,2,2048,32,3,80
8,0.8,16,2,2048,64,3,80
8,0.7,16,4,1024,2,2,48
8,0.7,16,4,1024,4,2,48
8,0.7,16,4,1024,8,2,48
8,0.7,16,4,1024,16,2,48
8,0.7,16,4,1024,32,2,48
8,0.7,16,4,1024,64,2,48
8,0.7,16,4,2048,2,2,80
8,0.7,16,4,2048,4,2,80
8,0.7,16,4,2048,8,2,80
8,0.7,16,4,2048,16,2,80
8,0.7,16,4,2048,32,2,80
