Core Number,CPU clock (GHz),L1 Cache Size (KB),L1 Associativity,L2 Cache Size (KB),L2 Associativity,L2 latency (cycles),Benchmark,sim_ticks,BCE
8,1,16,2,1024,2,2,fft,1075112500,104
8,1,16,2,1024,8,2,fft,1082315000,104
8,1,16,2,1024,32,2,fft,1082315000,104
8,1,16,2,1024,16,2,fft,1082315000,104
8,1,16,2,1024,4,2,fft,1082112500,104
8,1,8,4,1024,4,2,fft,1092031250,72
8,1,8,4,2048,32,3,fft,1093221250,104
8,1,8,4,2048,4,3,fft,1093221250,104
8,1,8,4,1024,16,2,fft,1093236250,72
8,1,8,4,2048,16,3,fft,1093221250,104
8,1,8,4,2048,64,3,fft,1093221250,104
8,1,8,4,2048,8,3,fft,1093221250,104
8,1,8,4,1024,64,3,fft,1093221250,72
8,1,8,4,1024,8,2,fft,1093236250,72
8,1,8,4,1024,32,2,fft,1093236250,72
8,1,8,4,2048,2,3,fft,1093221250,104
8,1,16,2,2048,8,3,fft,1094223750,136
8,1,16,2,2048,32,3,fft,1094223750,136
8,1,16,2,2048,16,3,fft,1094223750,136
8,1,16,2,1024,64,3,fft,1094223750,104
8,1,8,2,1024,32,2,fft,1094153750,72
8,1,8,2,1024,16,2,fft,1094153750,72
8,1,16,2,2048,64,3,fft,1094223750,136
8,1,16,2,2048,2,3,fft,1094223750,136
8,1,8,2,1024,8,2,fft,1094153750,72
8,1,16,2,2048,4,3,fft,1094223750,136
8,1,8,4,1024,2,2,fft,1098383750,72
8,1,8,2,1024,4,2,fft,1101176250,72
8,1,8,2,1024,2,2,fft,1101938750,72
8,1,8,2,2048,16,3,fft,1107272500,104
8,1,8,2,2048,2,3,fft,1107272500,104
8,1,8,2,2048,32,3,fft,1107272500,104
8,1,8,2,2048,4,3,fft,1107272500,104
8,1,8,2,2048,64,3,fft,1107272500,104
8,1,8,2,2048,8,3,fft,1107272500,104
8,1,8,2,1024,64,3,fft,1107272500,72
8,1,16,4,1024,2,2,fft,1141156530,104
8,1,8,16,1024,2,2,fft,1144183152,72
8,1,16,4,2048,2,2,fft,1155063558,136
8,1,16,4,1024,4,2,fft,1154716311,104
8,1,16,4,2048,8,2,fft,1155063558,136
8,1,16,4,1024,32,2,fft,1155063558,104
8,1,16,4,1024,8,2,fft,1155063558,104
8,1,16,4,2048,4,2,fft,1155063558,136
8,1,16,4,2048,32,2,fft,1155063558,136
8,1,16,4,1024,64,2,fft,1155063558,104
8,1,16,4,1024,16,2,fft,1155063558,104
8,1,16,4,2048,16,2,fft,1155063558,136
8,1,8,16,1024,16,2,fft,1157179907,72
8,1,8,16,2048,4,2,fft,1157179907,104
8,1,8,16,1024,8,2,fft,1157179907,72
8,1,8,16,1024,32,2,fft,1157179907,72
8,1,8,16,2048,2,2,fft,1157179907,104
